Timestamp,Direction,Status,Source,Destination,Command,Length,Crc,Data
2019-04-11T13:35:42.894,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:35:43.405,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T13:35:43.955,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:35:47.242,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:35:47.372,Received,Valid,0x80,0xE4,0xF0,0xD2,0xD75F,0x03FFF040001A403F00000000000000000000000A00000001000000000017FB87000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A43E000000000000000000000000900000001000000000017FFD4000000000000000000000000000000000000000000000000000000010000000100000000FFF240001961FD00000000000000000000000500000001000000000017E5FF000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:35:47.946,Received,Valid,0x80,0xE4,0xF0,0xD2,0x4139,0x03FFF040001A403F00000000000000000000000A00000001000000000017FB87000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A43E000000000000000000000000900000001000000000017FFD4000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019621300000000000000000000000500000001000000000017E614000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:36:03.245,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:36:03.275,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:36:03.805,Received,Valid,0x80,0xBC,0xF1,0x0B,0x29BE,0x01F338
2019-04-11T13:36:04.226,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:36:04.646,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:36:05.056,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:36:12.271,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:36:12.331,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:36:12.723,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:36:13.145,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:36:42.275,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:36:42.326,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:36:42.980,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:36:43.521,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T13:36:44.061,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:36:47.248,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:36:47.369,Received,Valid,0x80,0xE4,0xF0,0xD2,0xC874,0x03FFF040001A45A700000000000000000000000A000000010000000000180078000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A49490000000000000000000000090000000100000000001804C5000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019674700000000000000000000000500000001000000000017EAEA000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:36:47.869,Received,Valid,0x80,0xE4,0xF0,0xD2,0x17F8,0x03FFF040001A45A700000000000000000000000A000000010000000000180078000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A49490000000000000000000000090000000100000000001804C5000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019675E00000000000000000000000500000001000000000017EAFF000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:37:03.253,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:37:03.273,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:37:03.947,Received,Valid,0x80,0xBC,0xF1,0x0B,0x29BE,0x01F338
2019-04-11T13:37:04.469,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:37:05.009,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:37:05.620,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:37:12.268,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:37:12.318,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:37:12.991,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:37:13.673,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:37:42.270,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:37:42.320,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:37:42.984,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:37:43.678,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T13:37:44.358,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:37:47.244,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:37:47.364,Received,Valid,0x80,0xE4,0xF0,0xD2,0x4AEC,0x03FFF040001A4B0F00000000000000000000000A000000010000000000180568000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A4EB10000000000000000000000090000000100000000001809B6000000000000000000000000000000000000000000000000000000010000000100000000FFF24000196C9100000000000000000000000500000001000000000017EFD6000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:38:03.264,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:38:03.284,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:38:03.987,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:38:04.557,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:38:04.977,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:38:12.258,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:38:12.308,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:38:12.979,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:38:13.501,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:38:42.253,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:38:42.303,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:38:42.974,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:38:43.565,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
